timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:09:35.983801,2.18,16,0.34,2.17
2026-03-24T14:09:36.001889,2.19,31,0.34,2.17
2026-03-24T14:09:36.013960,2.17,25,0.34,2.17
2026-03-24T14:09:36.025929,2.2,15,0.34,2.17
2026-03-24T14:09:36.037962,2.25,15,0.34,2.17
2026-03-24T14:09:36.086122,2.2,20,0.32,2.17
2026-03-24T14:09:36.098177,2.19,24,0.33,2.17
2026-03-24T14:09:36.716028,2.2,5,0.3,2.18
2026-03-24T14:09:36.878084,2.23,4,0.29,2.18
2026-03-24T14:09:37.304174,2.19,3,0.25,2.18
2026-03-24T14:09:37.760366,2.22,6,0.29,2.17
2026-03-24T14:09:37.982178,2.18,9,0.3,2.17
2026-03-24T14:09:41.803883,2.23,21,0.34,2.17
2026-03-24T14:09:41.845921,2.23,16,0.32,2.17
2026-03-24T14:09:41.893924,2.22,25,0.32,2.17
2026-03-24T14:09:41.917997,2.22,32,0.34,2.18
2026-03-24T14:09:41.929999,2.21,30,0.34,2.17
2026-03-24T14:09:41.954068,2.19,41,0.35,2.17
2026-03-24T14:09:41.966065,2.2,14,0.34,2.17
2026-03-24T14:09:42.019866,2.19,24,0.33,2.17
2026-03-24T14:09:42.044013,2.21,29,0.33,2.17
2026-03-24T14:09:42.067966,2.19,4,0.32,2.17
2026-03-24T14:09:42.157867,2.16,7,0.3,2.17
2026-03-24T14:09:42.181950,2.19,7,0.29,2.17
2026-03-24T14:09:42.241998,2.14,4,0.28,2.17
2026-03-24T14:09:42.367934,2.15,2,0.28,2.17
2026-03-24T14:09:42.697979,2.26,5,0.32,2.17
2026-03-24T14:09:43.021994,2.22,6,0.32,2.18
2026-03-24T14:09:43.754014,2.16,7,0.29,2.18
2026-03-24T14:09:43.975995,2.19,6,0.32,2.18
2026-03-24T14:09:47.978011,2.21,25,0.33,2.18
2026-03-24T14:09:48.026038,2.18,24,0.33,2.17
2026-03-24T14:09:48.038056,2.18,26,0.33,2.17
2026-03-24T14:09:48.050093,2.25,28,0.33,2.17
2026-03-24T14:09:48.074007,2.21,23,0.33,2.18
2026-03-24T14:09:48.092044,2.16,47,0.33,2.18
2026-03-24T14:09:48.152009,2.15,27,0.33,2.17
2026-03-24T14:09:48.164153,2.23,25,0.34,2.18
2026-03-24T14:09:48.176042,2.21,11,0.33,2.18
2026-03-24T14:09:48.188104,2.24,12,0.33,2.18
