timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:26:10.883411,0.75,33,-0.08,0.67
2026-03-24T14:26:10.895446,0.74,37,-0.06,0.67
2026-03-24T14:26:10.907135,0.72,36,-0.04,0.67
2026-03-24T14:26:10.919205,0.69,39,-0.02,0.67
2026-03-24T14:26:10.985179,0.74,33,-0.01,0.67
2026-03-24T14:26:10.997070,0.67,32,-0.01,0.67
2026-03-24T14:26:11.123206,0.77,45,0.1,0.69
2026-03-24T14:26:11.135037,0.73,39,0.12,0.69
2026-03-24T14:26:11.183202,0.76,50,0.14,0.69
2026-03-24T14:26:11.195161,0.78,51,0.14,0.69
2026-03-24T14:26:11.213205,0.75,48,0.15,0.69
2026-03-24T14:26:11.225145,0.75,43,0.16,0.69
2026-03-24T14:26:11.237120,0.74,43,0.16,0.7
2026-03-24T14:26:11.285173,0.79,54,0.17,0.7
2026-03-24T14:26:11.297190,0.75,53,0.17,0.7
2026-03-24T14:26:11.309226,0.78,47,0.18,0.7
2026-03-24T14:26:11.327109,0.77,45,0.18,0.71
2026-03-24T14:26:11.339526,0.76,55,0.18,0.71
2026-03-24T14:26:11.387542,0.78,48,0.19,0.71
2026-03-24T14:26:11.399543,0.77,35,0.19,0.71
2026-03-24T14:26:11.411458,0.76,41,0.2,0.72
2026-03-24T14:26:11.423373,0.79,40,0.2,0.72
2026-03-24T14:26:11.441441,0.78,49,0.2,0.72
2026-03-24T14:26:11.489483,0.75,37,0.2,0.72
2026-03-24T14:26:11.501560,0.78,42,0.21,0.72
2026-03-24T14:26:11.513412,0.78,39,0.21,0.72
2026-03-24T14:26:11.525513,0.8,36,0.21,0.72
2026-03-24T14:26:11.579517,0.81,46,0.21,0.73
2026-03-24T14:26:11.627542,0.8,27,0.21,0.73
2026-03-24T14:26:11.639374,0.79,47,0.21,0.74
2026-03-24T14:26:11.651437,0.82,20,0.21,0.74
2026-03-24T14:26:11.663452,0.8,35,0.21,0.74
2026-03-24T14:26:11.675457,0.8,23,0.21,0.74
2026-03-24T14:26:11.729460,0.78,26,0.21,0.74
2026-03-24T14:26:11.741418,0.81,37,0.21,0.74
2026-03-24T14:26:11.753429,0.8,34,0.21,0.74
2026-03-24T14:26:11.765454,0.78,22,0.2,0.75
2026-03-24T14:26:11.777417,0.79,31,0.2,0.75
2026-03-24T14:26:11.825441,0.76,19,0.2,0.75
2026-03-24T14:26:11.843378,0.76,18,0.2,0.76
2026-03-24T14:26:11.855522,0.83,17,0.19,0.76
2026-03-24T14:26:11.867518,0.78,13,0.19,0.76
2026-03-24T14:26:11.879506,0.83,11,0.18,0.76
2026-03-24T14:26:11.939889,0.78,4,0.18,0.77
2026-03-24T14:26:11.957056,0.75,7,0.18,0.77
2026-03-24T14:26:11.981103,0.74,0,0.15,0.77
2026-03-24T14:26:12.197484,0.69,-6,0.05,0.77
2026-03-24T14:26:12.245462,0.69,-5,0.04,0.76
2026-03-24T14:26:12.269567,0.66,-8,0.02,0.76
2026-03-24T14:26:13.505148,0.75,2,-0.09,0.64
2026-03-24T14:26:13.709185,0.71,28,0.0,0.67
2026-03-24T14:26:13.733149,0.73,35,0.02,0.68
2026-03-24T14:26:13.745112,0.73,23,0.03,0.69
2026-03-24T14:26:13.799164,0.71,28,0.04,0.69
2026-03-24T14:26:13.811105,0.73,29,0.05,0.69
2026-03-24T14:26:13.823537,0.68,27,0.06,0.69
2026-03-24T14:26:13.835710,0.68,38,0.06,0.69
2026-03-24T14:26:13.847485,0.71,29,0.06,0.69
2026-03-24T14:26:13.895429,0.71,32,0.07,0.69
2026-03-24T14:26:13.913411,0.69,38,0.08,0.69
2026-03-24T14:26:13.925472,0.71,40,0.08,0.69
2026-03-24T14:26:14.543374,0.67,6,0.15,0.71
2026-03-24T14:26:15.209545,0.7,-28,-0.09,0.7
2026-03-24T14:26:15.221550,0.71,-20,-0.09,0.7
2026-03-24T14:26:15.233521,0.74,-23,-0.09,0.7
2026-03-24T14:26:15.287559,0.69,-33,-0.09,0.7
2026-03-24T14:26:15.299424,0.68,-18,-0.09,0.7
2026-03-24T14:26:15.311541,0.69,-24,-0.09,0.7
2026-03-24T14:26:15.323220,0.7,-17,-0.09,0.7
2026-03-24T14:26:15.335013,0.69,-29,-0.09,0.69
2026-03-24T14:26:15.383020,0.69,-25,-0.09,0.69
2026-03-24T14:26:15.401160,0.7,-30,-0.09,0.69
2026-03-24T14:26:15.713257,0.75,-8,-0.09,0.7
2026-03-24T14:26:15.953528,0.82,-6,-0.08,0.71
2026-03-24T14:26:16.031691,0.89,-9,-0.07,0.73
2026-03-24T14:26:16.235271,0.9,-9,-0.07,0.8
2026-03-24T14:26:16.307023,0.88,-8,-0.07,0.82
2026-03-24T14:26:20.783506,1.63,-2,0.07,1.5
2026-03-24T14:26:20.861544,1.62,13,0.07,1.52
2026-03-24T14:26:20.897526,1.46,-8,0.07,1.5
2026-03-24T14:26:20.909197,1.43,-4,0.07,1.5
2026-03-24T14:26:20.927129,1.42,-1,0.04,1.5
2026-03-24T14:26:20.975314,1.45,-8,0.02,1.49
2026-03-24T14:26:21.911212,1.48,7,0.0,1.45
